"module name","license","repository"
"@ampproject/remapping@2.2.0","Apache-2.0","https://github.com/ampproject/remapping"
"@astrojs/compiler@0.23.5","MIT","https://github.com/withastro/compiler"
"@astrojs/compiler@0.29.5","MIT","https://github.com/withastro/compiler"
"@astrojs/language-server@0.26.2","MIT",""
"@astrojs/markdown-remark@1.1.3","MIT","https://github.com/withastro/astro"
"@astrojs/micromark-extension-mdx-jsx@1.0.3","MIT","https://github.com/withastro/micromark-extension-mdx-jsx"
"@astrojs/prism@1.0.1","MIT","https://github.com/withastro/astro"
"@astrojs/telemetry@1.0.1","MIT","https://github.com/withastro/astro"
"@astrojs/webapi@1.1.1","MIT","https://github.com/withastro/astro"
"@babel/code-frame@7.18.6","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.20.0","MIT","https://github.com/babel/babel"
"@babel/core@7.19.6","MIT","https://github.com/babel/babel"
"@babel/generator@7.20.0","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.20.0","MIT","https://github.com/babel/babel"
"@babel/helper-environment-visitor@7.18.9","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.19.0","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.19.6","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.19.0","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.19.4","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.19.4","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.19.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helpers@7.20.0","MIT","https://github.com/babel/babel"
"@babel/highlight@7.18.6","MIT","https://github.com/babel/babel"
